序號,設施名稱,is_indoor,分類原因
305,高雄市政府社會局無障礙之家,True,預設室內
306,高雄市鳳山區南成國民小學,True,預設室內
307,龍成宮,True,預設室內
308,米蘭特區,True,預設室內
309,四維國小,True,包含強制室內關鍵字: 國小
310,僑智國小,True,包含強制室內關鍵字: 國小
311,萬金天主教堂,True,預設室內
312,嘉蘭國小 Jialan Elementary School,True,包含強制室內關鍵字: 國小
313,高雄市鳳山區鳳翔國民小學,True,預設室內
314,高雄市立鳳翔國民中學,True,預設室內
315,萬丹國中,True,包含強制室內關鍵字: 國中
316,嘉蘭村活動中心 Jialan Activity Center,True,包含強制室內關鍵字: 活動中心
317,高雄市鳳山區福誠國民小學,True,預設室內
318,高雄市立五甲國民中學,True,預設室內
319,高雄市鳳山區中崙國民小學,True,預設室內
320,大發公有市場3樓,True,包含強制室內關鍵字: 市場
321,高雄市前鎮區瑞祥國民小學,True,預設室內
322,高雄市旗津區中洲國民小學,True,預設室內
323,高雄市立瑞祥高級中學,True,預設室內
324,高雄市立大寮幼兒園,True,預設室內
325,高雄市立大寮國民中學,True,預設室內
326,高雄市立中崙國民中學,True,預設室內
327,三隆里社區活動中心,True,包含強制室內關鍵字: 活動中心
328,高雄市鳳山區正義國民小學,True,預設室內
329,正興村活動中心Zhengxing Activity Center,True,包含強制室內關鍵字: 活動中心
330,泰武活動中心,True,包含強制室內關鍵字: 活動中心
331,高雄市立獅甲國民中學,True,預設室內
332,竹田鄉立幼兒園,True,預設室內
333,高雄市大寮區永芳國民小學,True,預設室內
334,高雄市前鎮區瑞豐國民小學,True,預設室內
335,金湯營區,True,預設室內
336,中正營區,True,預設室內
337,高雄市大寮區山頂國民小學,True,預設室內
338,高雄市前鎮區復興國民小學,True,預設室內
339,高雄市前鎮區樂群國民小學,True,預設室內
340,山頂里社區活動中心,True,包含強制室內關鍵字: 活動中心
341,高雄市前鎮區民權國民小學,True,預設室內
342,高雄市旗津區旗津國民小學,True,預設室內
343,高雄市竹西里活動中心,True,包含強制室內關鍵字: 活動中心
344,內埔國小,True,包含強制室內關鍵字: 國小
345,高雄市立中正高級工業職業學校,True,包含強制室內關鍵字: 學校
346,高雄市立光華國民中學,True,預設室內
347,內埔鄉文康中心,True,預設室內
348,高雄市立瑞豐國民中學,True,預設室內
349,內埔國中,True,包含強制室內關鍵字: 國中
350,大王國小,True,包含強制室內關鍵字: 國小
351,高雄市鳳山區新甲國民小學,True,預設室內
352,高雄市苓雅區成功國民小學,True,預設室內
353,高雄市前鎮區愛群國民小學,True,預設室內
354,武侯宮,True,預設室內
355,光武里社區活動中心,True,包含強制室內關鍵字: 活動中心
356,高雄市苓洲國民小學,True,預設室內
357,順安府,True,預設室內
358,太麻里鄉老人會館,True,預設室內
359,社皮國小,True,包含強制室內關鍵字: 國小
360,高雄市立英明國民中學,True,預設室內
361,東寧國小,True,包含強制室內關鍵字: 國小
362,老人文康活動中心,True,包含強制室內關鍵字: 活動中心
363,老人文康活動中心,True,包含強制室內關鍵字: 活動中心
364,廣安國小,True,包含強制室內關鍵字: 國小
365,竹田國中,True,包含強制室內關鍵字: 國中
366,黃厝北極上帝殿,True,預設室內
367,富田國小,True,包含強制室內關鍵字: 國小
368,高雄市大寮區忠義國民小學,True,預設室內
369,高雄市立鳳甲國民中學,True,預設室內
370,高雄市鳳山區誠正國民小學,True,預設室內
371,高雄市鳳山區鳳西國民小學,True,預設室內
372,高雄市鳳山區忠孝國民小學,True,預設室內
373,高雄市立苓雅國民中學,True,預設室內
374,忠義里里辦公處2樓,True,包含強制室內關鍵字: 辦公處
375,中興里社區活動中心,True,包含強制室內關鍵字: 活動中心
376,高雄市苓雅區福康國民小學,True,預設室內
377,黃埔營區,True,預設室內
378,高雄市立忠孝國民中學,True,預設室內
379,新濱營區,True,預設室內
380,高雄市政府社會局安琪兒家園,True,預設室內
381,高雄市政府社會局陽光家園,True,預設室內
382,高雄市苓雅區五權國民小學,True,預設室內
383,育英國小,True,包含強制室內關鍵字: 國小
384,高雄市立高雄高級女子中學,True,預設室內
385,高雄市鹽埕區光榮國民小學,True,預設室內
386,謝府元帥廟,True,預設室內
387,高雄市鹽埕區忠孝國民小學,True,預設室內
389,高雄市苓雅區四維國民小學,True,預設室內
390,翁園里社區活動中心,True,包含強制室內關鍵字: 活動中心
391,高雄市大寮區翁園國民小學,True,預設室內
392,高雄市鼓山區鼓山國民小學,True,預設室內
393,高雄市立鹽埕國民中學,True,預設室內
394,高雄市鹽埕區鹽埕國民小學,True,預設室內
395,高雄市鳳山區大東國民小學,True,預設室內
396,高雄市苓雅區福東國民小學,True,預設室內
397,高雄市立新興高級中學,True,預設室內
398,鹽埕區公所11樓大禮堂,True,包含強制室內關鍵字: 禮堂
399,高雄市鳳山區鳳山國民小學,True,預設室內
400,鳳山區公所大禮堂,True,包含強制室內關鍵字: 禮堂
401,高雄市立鳳山國民中學,True,預設室內
402,高雄市立高雄高級高商職業學校,True,包含強制室內關鍵字: 學校
403,高雄市前金區前金國民小學,True,預設室內
404,高雄市立中正高級中學,True,預設室內
405,高雄市新興區新興國民小學,True,預設室內
406,萬安活動中心,True,包含強制室內關鍵字: 活動中心
407,前金區公所5樓大禮堂,True,包含強制室內關鍵字: 禮堂
408,高雄市新興區大同國民小學,True,預設室內
409,高雄市鳳山區中正國民小學,True,預設室內
410,溪寮里社區活動中心,True,包含強制室內關鍵字: 活動中心
411,基督教鳳山長老教會,True,預設室內
412,高雄市立前金國民中學,True,預設室內
413,國立鳳山高級中學,True,預設室內
414,排灣社區活動中心,True,包含強制室內關鍵字: 活動中心
415,高雄市苓雅區中正國民小學,True,預設室內
416,高雄市鳳山區瑞興國民小學,True,預設室內
417,鳳山街友服務中心,True,預設室內
418,高雄市大寮區溪寮國民小學,True,預設室內
419,高雄市鳳山區中山國民小學,True,預設室內
420,高雄市立青年國民中學,True,預設室內
421,泰安國小,True,包含強制室內關鍵字: 國小
422,北里活動中心,True,包含強制室內關鍵字: 活動中心
423,高雄市新興區信義國民小學,True,預設室內
424,高雄市鼓山區壽山國民小學,True,預設室內
425,高雄市前金區建國國民小學,True,預設室內
426,高雄市立壽山國民中學,True,預設室內
427,高雄市三民區河濱國民小學,False,包含室外關鍵字: 河濱
428,高雄市新興區七賢國民小學,True,預設室內
429,高雄市鳳山區文華國民小學,True,預設室內
430,高雄市大寮區中庄國民小學,True,預設室內
431,"千歲,千北,立德,鳳南聯合里活動中心",True,包含強制室內關鍵字: 活動中心
432,三塊厝聯合里活動中心,True,包含強制室內關鍵字: 活動中心
433,高雄市苓雅區凱旋國民小學,True,預設室內
434,高雄市立中庄國民中學,True,預設室內
435,高雄市三民區三民國民小學,True,預設室內
436,鼓山區行政中心七樓大禮堂,True,包含強制室內關鍵字: 禮堂
437,江山里社區活動中心,True,包含強制室內關鍵字: 活動中心
438,高雄市大寮區後庄國民小學,True,預設室內
439,屏東市公館國小,True,包含強制室內關鍵字: 國小
440,高雄市立高雄高級中學,True,預設室內
441,高雄市三民區光武國民小學,True,預設室內
442,北辰宮,True,預設室內
443,高雄市鼓山區鼓岩國民小學,True,預設室內
444,高雄市立民族國民中學,True,預設室內
445,"德北,十全,十美聯合里活動中心",True,包含強制室內關鍵字: 活動中心
446,高雄市鳳山區文德國民小學,True,預設室內
447,寶安里活動中心,True,包含強制室內關鍵字: 活動中心
448,後庄老人活動中心,True,包含強制室內關鍵字: 活動中心
449,麟洛鄉公所,True,包含強制室內關鍵字: 公所
450,國立屏東科技大學孟祥體育館,True,包含強制室內關鍵字: 大學
451,屏東縣立公正國中,True,包含強制室內關鍵字: 國中
452,義和代天府,True,預設室內
453,高雄市鳳山區鎮北國民小學,True,預設室內
454,新興國小 Xingxing Elementary School,True,包含強制室內關鍵字: 國小
